time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
12.48,-3.8372553073888245,-31.586952688309616,1089.9785242817736,-0.27748894408372965,-1.796880494964388,-47.41190601313137,0.016189739885667874,0.2766522888696444,-7.902210144486458,-0.027969232937013564,0.010084287480964177,3.807584862253444,-0.011019420784866549,-0.19328419953425707,-0.9785361952678204,0.07090240842936751
12.49,-3.84002939088945,-31.604907776979214,1089.504010233113,-0.27734475635606026,-1.7941131599069216,-47.490896841422554,0.016239160123310784,0.27679565091382435,-7.895936802397297,-0.027458763399715307,0.011100248050750747,3.8137733607770583,-0.012343095082146122,-0.21189486676804867,-0.9746861424712064,0.07053364737605378
12.5,-3.8428019207421484,-31.622835179324255,1089.028706589538,-0.2771964233752496,-1.7913435248288108,-47.56982502607501,0.016283904675975555,0.27695447021220837,-7.889660588070355,-0.026913172460094854,0.012093808048186612,3.819957215134789,-0.013659035871036163,-0.23045897565469542,-0.9704751415556996,0.07014037683951237
12.51,-3.8455728401794107,-31.640734869980612,1088.5526139777069,-0.27704102146041837,-1.7885719598253265,-47.64869045527853,0.01632682036929972,0.27710897276716906,-7.883378689734068,-0.02633318926044053,0.01306309479100638,3.8261364163892813,-0.014966797591337677,-0.24896932001204225,-0.9659030811335302,0.06972271450977939
12.52,-3.848342092433729,-31.65860682358417,1088.0757330242793,-0.27687562693068735,-1.7857988349917397,-47.727493017222905,0.01637075402892081,0.2772393845810791,-7.8770882956168675,-0.02571954294304066,0.014006235596944654,3.83231095560318,-0.016265934682851663,-0.2674186936579341,-0.9609698498169281,0.06928077807689094
12.530000000000001,-3.851109620737595,-31.6764510147708,1087.5980643559133,-0.2766973161051773,-1.783024520423321,-47.80623260009794,0.016418552480476377,0.2773259316563112,-7.870786593947188,-0.025072962650183446,0.014921357783736204,3.83848082383913,-0.017556001585379358,-0.285799890410219,-0.9556753362181226,0.06881468523088302
12.540000000000001,-3.853875364664349,-31.694267419108307,1087.11960859953,-0.2765032987529213,-1.7802493703635731,-47.88490909479755,0.016472250053692822,0.2773502515154655,-7.86447097149997,-0.024394185844342053,0.01580665589288842,3.84464601235807,-0.01883655226010619,-0.30410569822583783,-0.9500194623901534,0.06832455570081147
12.55,-3.856639205024896,-31.712056027130274,1086.6403663862532,-0.27629292771946534,-1.7774734844919238,-47.96352243564172,0.016520833179856115,0.27731664933069394,-7.8581420035149945,-0.02368408360210645,0.016661404014682718,3.8508065156053743,-0.020107132982122432,-0.32232881094139343,-0.9440026874130859,0.06781054196041357
12.56,-3.8594009752514786,-31.72981684143682,1086.1603383505962,-0.27606728375870104,-1.774696757239232,-48.04207259196376,0.01654276810001525,0.2772477066262061,-7.851802836010537,-0.022943634729747246,0.017485746652250313,3.856962330593943,-0.02136728382941363,-0.3404618465066316,-0.9376259033582857,0.06727282288463471
12.57,-3.862160507427085,-31.74754986497169,1085.679525127169,-0.2758274968320302,-1.771919077191272,-48.120559534094056,0.016516221460411283,0.2771665254016082,-7.845456688215707,-0.0221738211014694,0.018279853096408265,3.863113454409796,-0.02261654470348367,-0.3584974207101863,-0.9308900146278788,0.06671157810027596
12.58,-3.8649176336347026,-31.765255100678633,1085.197927350581,-0.2755746969008547,-1.7691403329338176,-48.19898323236302,0.016419359907285273,0.277096207656506,-7.839106779359613,-0.02137562459147787,0.019043892637973632,3.869259884138951,-0.023854455505836467,-0.3764281493406916,-0.9237959256239914,0.06612698723413843
12.59,-3.8676721859573213,-31.7829325515014,1084.7155456554422,-0.2753100139265762,-1.766360413052643,-48.277343657101056,0.01623035008687828,0.27705985539050576,-7.832756328671364,-0.02055002707397761,0.019778034567763475,3.875401616867428,-0.02508055613797592,-0.3942466481867814,-0.9163445407487494,0.06551922991302316
12.6,-3.8704239964779283,-31.80058222038374,1084.2323806763623,-0.2750345778705968,-1.7635792061335218,-48.35564077863857,0.015927358645431364,0.27708057060321334,-7.826408555380068,-0.01969801042317359,0.02048244817659485,3.8815386496812447,-0.026294386501405927,-0.41194553303708975,-0.9085367644042789,0.06488848576373125
12.61,-3.873173011554142,-31.81820410021756,1083.7484330466998,-0.2747701732161188,-1.76079622106726,-48.433874654367465,0.01589836157370323,0.27782469595644743,-7.820159281747188,-0.018832783389050273,0.021164571078980194,3.887670991467085,-0.027495353086947703,-0.429517428894488,-0.900373669303951,0.06423495225601288
12.620000000000001,-3.875919739222743,-31.835798145741805,1083.2637033949802,-0.2745957196795971,-1.7580108916129542,-48.51204543590311,0.018014410670112148,0.2819954473154333,-7.814397978760655,-0.018006853154448284,0.021850498113000768,3.893798674811068,-0.02868248860364679,-0.44695498631223063,-0.8918570079275459,0.06355881243386421
12.63,-3.8786649009660934,-31.853364319991243,1082.7781923505713,-0.2744591902788083,-1.7552234878993742,-48.590152935506346,0.021960318165098806,0.28799600699749367,-7.808896179165723,-0.017186076763756334,0.022505930494959154,3.8999216380140065,-0.02985563290854003,-0.46425079334511493,-0.8829884256893125,0.06285995973979619
